企业代号,购方单位代号,金额,税额,价税合计,交易数
E1,B00326,18136.28,2357.72,20494.0,1
E1,B00385,6723.89,874.11,7598.0,1
E1,B00386,18127.58,2900.42,21028.0,1
E1,B00387,7787.61,1012.39,8800.0,1
E1,B00388,26240.71,3411.29,29652.0,1
E1,B00406,101834.69,14017.31,115852.0,2
E1,B00412,4325.66,562.34,4888.0,1
E1,B00413,54628.69,8401.31,63030.0,2
E1,B00414,189686.06,27261.94,216948.0,4
E1,B00487,52371.68,6808.32,59180.0,1
E1,B00488,28846.16,4903.84,33750.0,1
E1,B00489,5075.86,812.14,5888.0,1
E1,B00490,59733.33,10154.67,69888.0,1
E1,B00492,212222.51,35457.49,247680.0,8
E1,B00493,40259.82,6844.18,47104.0,2
E1,B00494,8221.1,1346.9,9568.0,3
E1,B00495,9268.97,1483.0300000000002,10752.0,3
E1,B00553,26307.69,4472.31,30780.0,1
E1,B00713,44637.869999999995,7554.13,52192.0,2
E1,B00717,116292.31,19769.690000000002,136062.0,2
E1,B00719,80451.51000000001,12066.49,92518.0,5
E1,B00723,7655.17,1224.83,8880.0,1
E1,B00724,21024.32,3515.6800000000003,24540.0,2
E1,B00728,7851.72,1256.28,9108.0,1
E1,B00729,22056.58,3145.42,25202.0,2
E1,B00757,16316.830000000002,2723.17,19040.0,2
E1,B00758,2671.68,347.32,3019.0,1
E1,B00759,1203402.6500000004,156442.34000000003,1359844.99,18
E1,B00760,63185.84,8214.16,71400.0,2
E1,B00761,5308.85,690.15,5999.0,1
E1,B00762,44591.15,5796.85,50388.0,1
E1,B00763,21235.4,2760.6,23996.0,4
E1,B00764,119192.91999999998,15495.080000000002,134688.0,3
E1,B00772,1602888.44,208375.50999999998,1811263.9500000002,15
E1,B00787,6265.49,814.51,7080.0,1
E1,B00788,4380.53,569.47,4950.0,1
E1,B00790,118209.73000000001,15367.26,133576.99,2
E1,B00791,8760.18,1138.82,9899.0,1
E1,B00792,21238.94,2761.06,24000.0,1
E1,B00793,64197.350000000006,8345.65,72543.0,4
E1,B00794,111702.66,14521.34,126224.0,3
E1,B00795,238919.47,31059.53,269979.0,2
E1,B00796,847513.27,110176.73,957690.0,11
E1,B00797,25454.87,3309.13,28764.0,1
E1,B00798,101207.95999999999,13157.04,114365.0,4
E1,B00799,136789.37,17782.63,154572.0,13
E1,B00800,130728.32,16994.68,147723.0,5
E1,B00801,114380.53,14869.470000000001,129250.0,4
E1,B00802,269286.72,35007.280000000006,304294.0,13
E1,B00803,75074.34,9759.66,84834.0,3
E1,B00804,13094.69,1702.31,14797.0,2
E1,B00805,54327.43,7062.57,61390.0,5
E1,B00806,198177.84999999998,25763.149999999994,223941.0,12
E1,B00807,1502140.7799999998,195278.30000000002,1697419.0799999998,16
E1,B00808,2476.99,322.01,2799.0,1
E1,B00809,5308.85,690.15,5999.0,1
E1,B00810,65204.43,8476.57,73681.0,6
E1,B00811,234807.07,30524.93,265332.0,6
E1,B00812,69186.71,8994.289999999999,78181.0,18
E1,B00813,11326.55,1472.45,12799.0,1
E1,B00814,7519.469999999999,977.53,8497.0,2
E1,B00815,19951.329999999998,2593.67,22545.0,2
E1,B00816,19287.61,2507.39,21795.0,3
E1,B00819,4714274.62,612855.7000000001,5327130.32,35
E1,B00820,32389.379999999997,4210.62,36600.0,2
E1,B00821,49058.42,6377.58,55436.0,7
