日期,资金,企业代号,信誉评级,是否违约
0,0.0,E1,A,否
17,9401.71,E1,A,否
20,9065.71,E1,A,否
21,8865.71,E1,A,否
22,-11177.030000000006,E1,A,否
23,7421.259999999995,E1,A,否
24,-46578.740000000005,E1,A,否
27,-46768.740000000005,E1,A,否
29,5675751.440000001,E1,A,否
30,5612725.790000003,E1,A,否
31,5675751.440000001,E1,A,否
34,7797924.840000002,E1,A,否
35,48513018.01,E1,A,否
36,69293534.26,E1,A,否
37,123851194.28,E1,A,否
38,141262479.80000004,E1,A,否
39,147499738.69000003,E1,A,否
40,147498601.69000003,E1,A,否
41,161505632.72000003,E1,A,否
42,-8033126.569999971,E1,A,否
43,-110026180.87999997,E1,A,否
45,-110026368.87999997,E1,A,否
49,-110026666.87999997,E1,A,否
50,-110027122.87999997,E1,A,否
51,-110030181.17999996,E1,A,否
52,-110085037.17999996,E1,A,否
53,-110085265.17999996,E1,A,否
54,-110090458.17999996,E1,A,否
55,-110095938.17999996,E1,A,否
56,-110101436.17999996,E1,A,否
57,-110101960.17999996,E1,A,否
58,-110102470.17999996,E1,A,否
59,-110102700.17999996,E1,A,否
60,-110102879.17999996,E1,A,否
61,-110103574.77999996,E1,A,否
62,-110104346.27999996,E1,A,否
64,-110104789.27999996,E1,A,否
65,-109909729.3199999,E1,A,否
66,-109916587.3199999,E1,A,否
68,-109937006.3199999,E1,A,否
69,-4573207.299999894,E1,A,否
70,66254829.3100001,E1,A,否
71,88783932.57000008,E1,A,否
72,-22696908.739999924,E1,A,否
73,-172679808.97999993,E1,A,否
74,-163970512.97999996,E1,A,否
76,-163970867.97999996,E1,A,否
78,-163971192.97999996,E1,A,否
81,-163977967.87999997,E1,A,否
82,-163979633.47999996,E1,A,否
84,-163171894.99999997,E1,A,否
85,-163173345.99999997,E1,A,否
86,-163174998.99999997,E1,A,否
87,-163175454.99999997,E1,A,否
88,-163180454.99999997,E1,A,否
90,-163189654.99999997,E1,A,否
91,-163285505.90999997,E1,A,否
92,-163281706.59999996,E1,A,否
93,-163283474.59999996,E1,A,否
94,-163285035.79999995,E1,A,否
97,-123502966.48999988,E1,A,否
98,-91000114.37999982,E1,A,否
99,-78785667.40999983,E1,A,否
100,-170754300.4299998,E1,A,否
101,-256869205.3999998,E1,A,否
104,-241026369.89999983,E1,A,否
105,-221435107.4199998,E1,A,否
106,-221480661.4199998,E1,A,否
107,-221480861.4199998,E1,A,否
108,-221593719.4199998,E1,A,否
112,-221599029.4199998,E1,A,否
113,-221599325.4199998,E1,A,否
114,-221600417.4199998,E1,A,否
115,-223011922.3199998,E1,A,否
116,-223012122.3199998,E1,A,否
117,-223012352.3199998,E1,A,否
118,-223016901.3199998,E1,A,否
119,-223017534.3199998,E1,A,否
120,-223052543.92999983,E1,A,否
123,-223062964.92999983,E1,A,否
124,-223064273.92999983,E1,A,否
126,-222719590.81999984,E1,A,否
127,-113476936.12999994,E1,A,否
128,-88876749.5999999,E1,A,否
