企业代号,增长率均值,增长率方差
E1,-2947682.5408464964,7235325611335.231
E2,423431.6411115052,137795054778.22708
E3,456377.03730840347,165219265680.92822
E4,1461127.8668327227,6159578713415.325
E5,-20501.795804844296,10988745750.49199
E6,71375.04328232358,65156289893.26465
E7,411084.9014026451,104625293562.1359
E8,196403.3027816671,26246167315.668953
E9,266945.5531618602,10037331573.41189
E10,338114.15390868677,450440834155.0576
E11,-2546.100370485942,16610376126.412415
E12,99587.79418124899,127676085415.31342
E13,113787.1105964911,36310535898.15521
E14,79788.08095882184,10039146727.921442
E15,294756.34296591027,226312914757.71008
E16,213935.62855473938,50402434735.94246
E17,26425.888248291358,6837431354.573091
E18,57905.782426190206,18668897211.853382
E19,-18732.129352010616,6726045588.58782
E20,-22298.616313862927,19954957091.13622
E21,-16733.292334447473,9218581992.612928
E22,37998.149401937204,7707386392.189202
E23,-15149.713482294039,3984840881.1862974
E24,54242.38996543769,7323544666.826154
E25,31316.675753933214,1693988301.3654122
E26,-3737.823855661622,515240187.9282074
E27,-5279.092762385614,486837279.95797366
E28,43512.29915381662,3403740485.30252
E29,64989.67019451908,7867106966.976641
E30,60950.846299705205,9568339653.097744
E31,39917.43461472668,352890188.21321166
E32,38621.32677911275,1853457910.2503667
E33,-2122.918282430945,6872225812.507765
E34,34016.36222570763,16381843451.07741
E35,-449.08329523539294,494040642.4936471
E36,14819.176505414407,321644907.3143727
E37,-2990.670248431929,496696137.07284546
E38,38423.25212623375,4378661987.208425
E39,36621.26192939498,1930688324.5980427
E40,28864.787698732325,787587551.8613183
E41,26293.081099447478,413160782.2505187
E42,41879.92270829692,1559966254.6959524
E43,33116.39169501097,2195861902.91312
E44,1539.5867987555268,337737424.00398743
E45,1467.5866246595122,484404926.71069854
E46,8420.016438589642,724974984.9450549
E47,1848.1058388311267,254951224.7941268
E48,34292.57108408212,939638620.2896984
E49,11002.578721283564,3790402966.522216
E50,19899.453725919662,1192276081.9772503
E51,5388.994060008811,186030488.94558263
E52,3733.232131046086,2204586622.7992816
E53,1015.7497148014625,915256266.9655112
E54,24855.710734427183,269521625.946562
E55,11424.553491872719,1471099137.6585388
E56,-3343.031815869412,478531137.00336933
E57,9108.194387376516,1465141991.5045607
E58,26273.12598726038,1083221825.4845102
E59,5217.260507602096,110879602.56845479
E60,6519.610595968351,604035813.3792696
E61,14905.757726653874,59801400.798110045
E62,8672.390491198701,134720992.7316113
E63,6714.589840152829,1264511017.3639138
E64,8708.560447827738,56930835.330670886
E65,2859.1747801873994,32105640.51390095
E66,-247.5568071668883,78559581.56480522
E67,4428.134058178069,44086731.01551933
E68,9955.299873166925,82469095.8058281
E69,6978.415163158577,39744423.44490315
E70,4082.9537447667262,126061007.46212529
E71,962.1271815263964,1082275270.39006
E72,2802.4784591028574,22226386.150317952
E73,4962.031002739893,18528583.396667458
E74,4404.32561487005,7498741.543687151
E75,3885.9591081079284,17110658.998168934
E76,3049.4241016668575,16025744.806757875
E77,8062.20114599901,619244216.96941
E78,7133.0879038919875,61814749.284664854
E79,378.71041659271987,16857855.78744165
E80,1076.4859889036297,148349768.07944262
E81,1062.418649085901,6329025.755269227
E82,1358.7274447423106,13850511.98627583
E83,-33424.752186138576,671896460.8078917
E84,4108.540362316935,26126212.733562276
E85,2366.98922556143,11879127.77986268
E86,2062.118674503343,282162310.71389645
E87,2497.3460536431726,42106710.40631172
E88,1641.1353775477678,5096377.764140707
E89,-431.2501753105613,194943188.86222255
E90,3822.9100102507405,43247787.53003763
E91,671.1518865602721,2156475.391987677
E92,1869.2144443761988,28701875.880596753
E93,1077.1633092797276,3005592.5369040095
E94,1221.9977871511965,2774439.21734658
E95,2267.011061087597,3232530.5943435864
E96,-2762.3475698346665,361746018.3730217
E97,1667.2913551032211,1346318.7039907046
E98,1736.3215043268021,13946592.85700207
E99,-7316.001453663338,558226276.3286633
E100,733.8499625660047,3626748.2049501743
E101,1915.7934592138301,18407246.69667354
E102,-2877.2216431391644,1477779.403847555
E103,1349.4122312721536,30961210.853637792
E104,664.7447762035592,348399.8475565211
E105,1454.2035704503658,2137640.296305702
E106,616.3496770953051,337468.245860641
E107,780.970730321622,49852531.42831669
E108,122.17993492564932,216891.3247930944
E109,1887.2735064675123,17485119.905913673
E110,624.8881819050556,730680.5293242749
E111,564.1266792677504,17331415.021219023
E112,492.2562887372941,21994507.784590665
E113,-1719.5348805660533,39646805.949445896
E114,-522.6521456538849,1628682.5763437108
E115,381.09847211507326,239736.48411528254
E116,540.3858984174628,1258060.5693060502
E117,2120.7720856027836,8192399.821819412
E118,146.45306347369666,651411.7857481883
E119,-215.02824113541968,54155.15730645609
E120,110.39130120639265,88152.34837231036
E121,-1508.5831045085497,711052.5819446922
E122,33.68034788126534,42604.645848067
E123,1381.1472890457642,20185942.869327303
