日期,资金,企业代号,信誉评级
0,2908775.09,E124,
1,2908587.09,E124,
2,2905147.09,E124,
3,2911451.57,E124,
4,6938055.12,E124,
5,10776771.86,E124,
6,10713768.36,E124,
7,6957371.759999998,E124,
8,6804295.759999998,E124,
9,6803525.759999998,E124,
10,5763144.419999998,E124,
11,1965703.0699999975,E124,
12,341684.8299999975,E124,
13,-81832.89000000249,E124,
14,5424399.569999998,E124,
15,5423028.569999998,E124,
16,5422456.569999998,E124,
17,4679107.069999998,E124,
18,4533584.889999999,E124,
19,4309021.139999999,E124,
20,4017696.9699999983,E124,
21,6099720.579999999,E124,
22,6098278.579999999,E124,
23,6097718.579999999,E124,
24,5663216.119999999,E124,
25,5817939.37,E124,
26,-1272230.7599999998,E124,
27,-2264669.11,E124,
28,-2460628.0399999996,E124,
29,-2467479.0399999996,E124,
30,-2468470.0399999996,E124,
31,-2468570.0399999996,E124,
32,-2469330.0399999996,E124,
34,-2469767.0399999996,E124,
36,-2470067.0399999996,E124,
37,-2471307.0399999996,E124,
38,3158848.150000001,E124,
39,5595687.3500000015,E124,
40,5542871.3500000015,E124,
41,5418953.250000001,E124,
42,5394351.240000001,E124,
43,5394082.240000001,E124,
44,5387383.240000001,E124,
45,5318718.740000001,E124,
46,3942995.910000001,E124,
47,3560344.910000001,E124,
48,2176134.520000001,E124,
49,1271227.9200000009,E124,
50,1271027.9200000009,E124,
51,1270887.9200000009,E124,
52,405096.1200000008,E124,
53,3495800.8200000008,E124,
54,2886373.0800000005,E124,
55,995555.0899999999,E124,
56,1841495.4799999997,E124,
57,1840793.4799999997,E124,
58,1840492.4799999997,E124,
59,799818.2999999998,E124,
60,767934.5999999999,E124,
61,3371329.6199999996,E124,
62,2419008.4199999995,E124,
63,2203557.1199999996,E124,
64,2203157.1199999996,E124,
65,2202217.2699999996,E124,
66,1887281.7699999996,E124,
67,4087812.0699999994,E124,
68,4363635.9799999995,E124,
69,5694922.239999998,E124,
70,5202717.169999998,E124,
71,5194917.169999998,E124,
72,5183885.169999998,E124,
73,5027857.569999998,E124,
74,4708997.779999998,E124,
