日期,资金,企业代号,信誉评级
2017-07-18,0.0,E1,A
2017-08-04,9401.71,E1,A
2017-08-07,9065.71,E1,A
2017-08-08,8865.71,E1,A
2017-08-09,-11177.030000000006,E1,A
2017-08-10,7421.259999999995,E1,A
2017-08-11,-46578.740000000005,E1,A
2017-08-14,-46768.740000000005,E1,A
2017-08-16,5675751.440000001,E1,A
2017-08-17,5612725.790000003,E1,A
2017-08-18,5675751.440000001,E1,A
2017-08-21,7797924.840000002,E1,A
2017-08-22,48513018.01,E1,A
2017-08-23,69293534.26,E1,A
2017-08-24,123851194.28,E1,A
2017-08-25,141262479.80000004,E1,A
2017-08-26,147499738.69000003,E1,A
2017-08-27,147498601.69000003,E1,A
2017-08-28,161505632.72000003,E1,A
2017-08-29,-8033126.569999971,E1,A
2017-08-30,-110026180.87999997,E1,A
2017-09-01,-110026368.87999997,E1,A
2017-09-05,-110026666.87999997,E1,A
2017-09-06,-110027122.87999997,E1,A
2017-09-07,-110030181.17999996,E1,A
2017-09-08,-110085037.17999996,E1,A
2017-09-09,-110085265.17999996,E1,A
2017-09-10,-110090458.17999996,E1,A
2017-09-11,-110095938.17999996,E1,A
2017-09-12,-110101436.17999996,E1,A
2017-09-13,-110101960.17999996,E1,A
2017-09-14,-110102470.17999996,E1,A
2017-09-15,-110102700.17999996,E1,A
2017-09-16,-110102879.17999996,E1,A
2017-09-17,-110103574.77999996,E1,A
2017-09-18,-110104346.27999996,E1,A
2017-09-20,-110104789.27999996,E1,A
2017-09-21,-109909729.3199999,E1,A
2017-09-22,-109916587.3199999,E1,A
2017-09-24,-109937006.3199999,E1,A
2017-09-25,-4573207.299999894,E1,A
2017-09-26,66254829.3100001,E1,A
2017-09-27,88783932.57000008,E1,A
2017-09-28,-22696908.739999924,E1,A
2017-09-29,-172679808.97999993,E1,A
2017-09-30,-163970512.97999996,E1,A
2017-10-02,-163970867.97999996,E1,A
2017-10-04,-163971192.97999996,E1,A
2017-10-07,-163977967.87999997,E1,A
2017-10-08,-163979633.47999996,E1,A
2017-10-10,-163171894.99999997,E1,A
2017-10-11,-163173345.99999997,E1,A
2017-10-12,-163174998.99999997,E1,A
2017-10-13,-163175454.99999997,E1,A
2017-10-14,-163180454.99999997,E1,A
2017-10-16,-163189654.99999997,E1,A
2017-10-17,-163285505.90999997,E1,A
2017-10-18,-163281706.59999996,E1,A
2017-10-19,-163283474.59999996,E1,A
