企业代号,额度,预期收益,年利率,增长率均值×方差,是否调整
E176,574277,37091.8314412925,0.0585,45.828687298511156,调整后
E176,863313,37091.8314412925,0.0585,45.828687298511156,调整前
E250,717118,36353.933521251,0.0585,41.29686314961587,调整后
E250,861729,36353.933521251,0.0585,41.29686314961587,调整前
E170,723569,37091.8314412925,0.0585,47.63695883645195,调整后
E170,860110,37091.8314412925,0.0585,47.63695883645195,调整前
E183,739978,31672.52442,0.0625,46.36962287179123,调整后
E183,858621,31672.52442,0.0625,46.36962287179123,调整前
E144,757324,34761.916972557,0.0465,50.759410216728284,调整后
E144,857941,34761.916972557,0.0465,50.759410216728284,调整前
E194,658486,34727.70159489,0.0585,47.858595129948256,调整后
E194,856196,34727.70159489,0.0585,47.858595129948256,调整前
E294,609150,37767.263568165,0.0585,42.00335976244532,调整后
E294,855789,37767.263568165,0.0585,42.00335976244532,调整前
E190,666489,37015.928728398,0.0585,50.3534913601682,调整后
E190,855249,37015.928728398,0.0585,50.3534913601682,调整前
E317,625355,37091.8314412925,0.0585,37.544431277670064,调整后
E317,854443,37091.8314412925,0.0585,37.544431277670064,调整前
E192,667050,35703.447100469995,0.0825,48.08485455288518,调整后
E192,853286,35703.447100469995,0.0825,48.08485455288518,调整前
E266,746331,37767.263568165,0.0585,43.429465798811655,调整后
E266,851728,37767.263568165,0.0585,43.429465798811655,调整前
E290,585750,33345.968864046,0.0585,40.72702099974569,调整后
E290,851598,33345.968864046,0.0585,40.72702099974569,调整前
E222,733320,36186.198903238,0.0505,44.235065382353504,调整后
E222,849878,36186.198903238,0.0505,44.235065382353504,调整前
E289,656025,37046.293523865,0.0505,39.60559934574687,调整后
E289,849686,37046.293523865,0.0505,39.60559934574687,调整前
E128,566603,35616.0356012095,0.0585,54.298595426587035,调整后
E128,847803,35616.0356012095,0.0585,54.298595426587035,调整前
E164,802502,37015.928728398,0.0585,49.04339663581084,调整后
E164,847613,37015.928728398,0.0585,49.04339663581084,调整前
E135,725216,36211.952876225,0.0825,49.792093013000546,调整后
E135,846450,36211.952876225,0.0825,49.792093013000546,调整前
E256,581577,37046.293523865,0.0505,40.40017445379732,调整后
E256,844616,37046.293523865,0.0505,40.40017445379732,调整前
E225,635325,35900.26783020001,0.0505,45.04196998404925,调整后
E225,843397,35900.26783020001,0.0505,45.04196998404925,调整前
E196,629679,37767.263568165,0.0585,44.71100694064702,调整后
E196,842942,37767.263568165,0.0585,44.71100694064702,调整前
